2026-03-16 23:40:09,082 INFO    MainThread:1269484 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_setup.py:_flush():81] Configure stats pid to 1269484
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /scratch/ee2178/Denoising-Diffusion-Project/my_CDLNet/wandb/run-20260316_234009-qzszdesf/logs/debug.log
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /scratch/ee2178/Denoising-Diffusion-Project/my_CDLNet/wandb/run-20260316_234009-qzszdesf/logs/debug-internal.log
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_init.py:init():844] calling init triggers
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'type': 'LPDSNet', 'model': {'adaptive': True, 'e2e_diff': True, 'K': 30, 'M': 169, 'C': 1, 'P': 7, 's': 2}, 'paths': {'save': 'trained_nets/knee/LPDS_ImMAP2p5_R10', 'ckpt': None}, 'train': {'loaders': {'batch_size': 1, 'crop_size': 256, 'trn_path_list': ['../../datasets/fastmri_preprocessed/knee_coil_combined/pd/train'], 'val_path_list': ['../../datasets/fastmri_preprocessed/knee_coil_combined/pd/val'], 'tst_path_list': ['../../datasets/fastmri_preprocessed/knee_coil_combined/pd/test'], 'trn_kspace_path_list': ['../../datasets/fastmri/knee/multicoil_train'], 'val_kspace_path_list': ['../../datasets/fastmri/knee/multicoil_val'], 'tst_kspace_path_list': ['../../datasets/fastmri/knee/multicoil_test_v2'], 'start_slice': 15, 'end_slice': 25, 'scaling_fac': 4000.0, 'num_workers': 14, 'modality': 'knee'}, 'fit': {'epochs': None, 'noise_std': [10, 13], 'image_noise_std': [0, 126], 'val_freq': 50, 'save_freq': 5, 'backtrack_thresh': 5, 'verbose': True, 'clip_grad': 0.05, 'demosaic': False, 'mcsure': False, 'x_init': True, 'noise_dist': 'cosine', 'denoiser_args_path': 'eval_config.json', 'max_steps': 300000, 'val_every': 2000, 'save_every': 5000}, 'opt': {'lr': 0.0005}, 'sched': {'gamma': 0.95, 'step_size': 50}}, 'mri': {'R': 10, 'acs_lines': 24}, '_wandb': {}}
2026-03-16 23:40:09,083 INFO    MainThread:1269484 [wandb_init.py:init():892] starting backend
2026-03-16 23:40:10,443 INFO    MainThread:1269484 [wandb_init.py:init():895] sending inform_init request
2026-03-16 23:40:10,471 INFO    MainThread:1269484 [wandb_init.py:init():903] backend started and connected
2026-03-16 23:40:10,584 INFO    MainThread:1269484 [wandb_init.py:init():973] updated telemetry
2026-03-16 23:40:10,687 INFO    MainThread:1269484 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-16 23:40:10,975 INFO    MainThread:1269484 [wandb_init.py:init():1042] starting run threads in backend
2026-03-16 23:40:12,274 INFO    MainThread:1269484 [wandb_run.py:_console_start():2524] atexit reg
2026-03-16 23:40:12,274 INFO    MainThread:1269484 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-16 23:40:12,274 INFO    MainThread:1269484 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-16 23:40:12,274 INFO    MainThread:1269484 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-16 23:40:12,298 INFO    MainThread:1269484 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-16 23:40:12,298 INFO    MainThread:1269484 [wandb_watch.py:_watch():69] Watching
2026-03-16 23:40:12,898 INFO    wandb-AsyncioManager-main:1269484 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-16 23:40:12,898 INFO    wandb-AsyncioManager-main:1269484 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
